title,type,question,A,B,C,D,answer,image
Variation,radio,not distinct or not clear / tidak ketara atau tidak jelas,Continuous vatiation / Variasi selanjar,Discontinuous vatiation / Variasi tak selanjar,,,A,
,radio,quantitative / kuantitatif,Continuous vatiation / Variasi selanjar,Discontinuous vatiation / Variasi tak selanjar,,,A,
,radio,normal distribution curve / lengkung taburan normal,Continuous vatiation / Variasi selanjar,Discontinuous vatiation / Variasi tak selanjar,,,A,
,radio,Histogram,Continuous vatiation / Variasi selanjar,Discontinuous vatiation / Variasi tak selanjar,,,A,
,radio,"determined by genes and influenced by environmental
factors / 
ditentukan oleh gen dan dipengaruhi oleh faktor persekitaran",Continuous vatiation / Variasi selanjar,Discontinuous vatiation / Variasi tak selanjar,,,A,
,radio,distinct or very clear / ketara atau sangat jelas,Continuous vatiation / Variasi selanjar,Discontinuous vatiation / Variasi tak selanjar,,,B,
,radio,discrete shape / berbentuk diskrit,Continuous vatiation / Variasi selanjar,Discontinuous vatiation / Variasi tak selanjar,,,B,
,radio,bar chart / carta bar,Continuous vatiation / Variasi selanjar,Discontinuous vatiation / Variasi tak selanjar,,,B,
,radio,determined by genetic factor only / ditentukan oleh faktor genetik sahaja,Continuous vatiation / Variasi selanjar,Discontinuous vatiation / Variasi tak selanjar,,,B,
,radio,not influenced by environmental factors / tidak dipengaruhi oleh faktor persekitaran.,Continuous vatiation / Variasi selanjar,Discontinuous vatiation / Variasi tak selanjar,,,B,
,radio,qualitative / kualitatif,Continuous vatiation / Variasi selanjar,Discontinuous vatiation / Variasi tak selanjar,,,B,
