title,type,question,A,B,C,D,answer,image
Matter,radio,the smallest particle of an element / zarah yang paling kecil di dalam sesuatu unsur,Atom,Molecule / Molekul,Ion,,A,
,radio,consists of two or more atoms which are chemically combined / gabungan dua atau lebih atom secara kimia,Atom,Molecule / Molekul,Ion,,B,
,radio,"a charged particle, either positively-charged or negatively-charged / zarah-zarah yang bercas, sama ada positif atau negatif",Atom,Molecule / Molekul,Ion,,C,
,radio,Gold / Emas 属于,Atomic Substances / Bahan Atom,Molecular Substances / Bahan Molekul,Ionic Substances / Bahan Ion,,A,
,radio,Iron / Besi 属于,Atomic Substances / Bahan Atom,Molecular Substances / Bahan Molekul,Ionic Substances / Bahan Ion,,A,
,radio,Helium 属于,Atomic Substances / Bahan Atom,Molecular Substances / Bahan Molekul,Ionic Substances / Bahan Ion,,A,
,radio,Oxygen / Oksigen 属于,Atomic Substances / Bahan Atom,Molecular Substances / Bahan Molekul,Ionic Substances / Bahan Ion,,B,
,radio,Water / Air 属于,Atomic Substances / Bahan Atom,Molecular Substances / Bahan Molekul,Ionic Substances / Bahan Ion,,B,
,radio,Hydrogen / Hidrogen 属于,Atomic Substances / Bahan Atom,Molecular Substances / Bahan Molekul,Ionic Substances / Bahan Ion,,B,
,radio,Carbon dioxide / Karbon dioksida 属于,Atomic Substances / Bahan Atom,Molecular Substances / Bahan Molekul,Ionic Substances / Bahan Ion,,B,
,radio,Salt / Garam 属于,Atomic Substances / Bahan Atom,Molecular Substances / Bahan Molekul,Ionic Substances / Bahan Ion,,C,
,radio,Sodium chloride / Natrium klorida 属于,Atomic Substances / Bahan Atom,Molecular Substances / Bahan Molekul,Ionic Substances / Bahan Ion,,C,
,radio,Copper sulphate / Kuprum sulfida 属于,Atomic Substances / Bahan Atom,Molecular Substances / Bahan Molekul,Ionic Substances / Bahan Ion,,C,
,radio,Ion oxide / Ferum oksida 属于,Atomic Substances / Bahan Atom,Molecular Substances / Bahan Molekul,Ionic Substances / Bahan Ion,,C,
,radio,哪个能在 Solid state / Keadaan pepejal 导电？,Atomic Substances / Bahan Atom,Molecular Substances / Bahan Molekul,Ionic Substances / Bahan Ion,,A,
,checkbox,哪个能在 Liquid state / Keadaan cecair 导电？,Atomic Substances / Bahan Atom,Molecular Substances / Bahan Molekul,Ionic Substances / Bahan Ion,,"A,B",
