title,type,question,A,B,C,D,E,F,answer,image
Modern Periodic Table of Elements,radio,Group / Kumpulan 1 叫什么?,Alkali metals / Logam alkali,Alkali earth metals / Logam alkali bumi,Transition elements / Unsur peralihan,Halogen,Inert gases / Gas nadir,,A,
,radio,Group / Kumpulan 2 叫什么?,Alkali metals / Logam alkali,Alkali earth metals / Logam alkali bumi,Transition elements / Unsur peralihan,Halogen,Inert gases / Gas nadir,,B,
,radio,Group / Kumpulan 3-12 叫什么?,Alkali metals / Logam alkali,Alkali earth metals / Logam alkali bumi,Transition elements / Unsur peralihan,Halogen,Inert gases / Gas nadir,,C,
,radio,Group / Kumpulan 17 叫什么?,Alkali metals / Logam alkali,Alkali earth metals / Logam alkali bumi,Transition elements / Unsur peralihan,Halogen,Inert gases / Gas nadir,,D,
,radio,Group / Kumpulan 18 叫什么?,Alkali metals / Logam alkali,Alkali earth metals / Logam alkali bumi,Transition elements / Unsur peralihan,Halogen,Inert gases / Gas nadir,,E,
,text,请写出1个 electron 的 electron arrangement / susunan elektron (eg:2.8.1),,,,,,,1,
,text,请写出2个 electron 的 electron arrangement / susunan elektron (eg:2.8.1),,,,,,,2,
,text,请写出3个 electron 的 electron arrangement / susunan elektron (eg:2.8.1),,,,,,,2.1,
,text,请写出4个 electron 的 electron arrangement / susunan elektron (eg:2.8.1),,,,,,,2.2,
,text,请写出5个 electron 的 electron arrangement / susunan elektron (eg:2.8.1),,,,,,,2.3,
,text,请写出6个 electron 的 electron arrangement / susunan elektron (eg:2.8.1),,,,,,,2.4,
,text,请写出7个 electron 的 electron arrangement / susunan elektron (eg:2.8.1),,,,,,,2.5,
,text,请写出8个 electron 的 electron arrangement / susunan elektron (eg:2.8.1),,,,,,,2.6,
,text,请写出9个 electron 的 electron arrangement / susunan elektron (eg:2.8.1),,,,,,,2.7,
,text,请写出10个 electron 的 electron arrangement / susunan elektron (eg:2.8.1),,,,,,,2.8,
,text,请写出11个 electron 的 electron arrangement / susunan elektron (eg:2.8.1),,,,,,,2.8.1,
,text,请写出12个 electron 的 electron arrangement / susunan elektron (eg:2.8.1),,,,,,,2.8.2,
,text,请写出13个 electron 的 electron arrangement / susunan elektron (eg:2.8.1),,,,,,,2.8.3,
,text,请写出14个 electron 的 electron arrangement / susunan elektron (eg:2.8.1),,,,,,,2.8.4,
,text,请写出15个 electron 的 electron arrangement / susunan elektron (eg:2.8.1),,,,,,,2.8.5,
,text,请写出16个 electron 的 electron arrangement / susunan elektron (eg:2.8.1),,,,,,,2.8.6,
,text,请写出17个 electron 的 electron arrangement / susunan elektron (eg:2.8.1),,,,,,,2.8.7,
,text,请写出18个 electron 的 electron arrangement / susunan elektron (eg:2.8.1),,,,,,,2.8.8,
,text,请写出19个 electron 的 electron arrangement / susunan elektron (eg:2.8.1),,,,,,,2.8.8.1,
,text,请写出20个 electron 的 electron arrangement / susunan elektron (eg:2.8.1),,,,,,,2.8.8.2,
,text,请问 2.8.3 的元素在 Group / Kumpulan 几？,,,,,,,13,
,text,请问 2.2 的元素在 Group / Kumpulan 几？,,,,,,,2,
,text,请问 2.6 的元素在 Group / Kumpulan 几？,,,,,,,16,
,text,请问 2.8.1 的元素在 Group / Kumpulan 几？,,,,,,,1,
,text,请问 2.8.8.1 的元素在 Group / Kumpulan 几？,,,,,,,1,
,text,请问 2.8.7 的元素在 Group / Kumpulan 几？,,,,,,,17,
,text,请问 2.8.7 的元素在 Period / Kala几？,,,,,,,3,
,text,请问 2.8.1 的元素在 Period / Kala几？,,,,,,,3,
,text,请问 2.1 的元素在 Period / Kala几？,,,,,,,2,
,text,请问 2.8.8.2 的元素在 Period / Kala几？,,,,,,,4,
