title,type,question,A,B,C,D,E,F,G,answer,image
Isotope,checkbox,什么是 Isotopes ?,Same proton number / Nombor proton sama,Different proton number / Nombor proton berlainan,Same neutron number / Nombor neutron sama,Different neutron number / Nombor neutron berlainan,Same electron number / Nombor elektron sama,Different elektron number / Nombor elektron berlainan,,"A,D",
,radio,To estimate the age of fossil /  Menganggarkan usia fosil  ,Carbon-14 / Karbon-14,Sodium-24 / Natrium-24,Phosphorus-32 / Fosforus-32,Cobalt-60 / Kobalt-60,Iodine-131 / Iodin-131,Uranium-235,Americium-241 / Amerisium-241,A,
,radio,To study the path of carbon in photosynthesis by green plants / Mengkaji laluan karbon dalam proses fotosintesis oleh tumbuhan hijau,,,,,,,,A,
,radio,To detect leakage in underground pipelines / Mengesan kebocoran paip bawah tanah,,,,,,,,B,
,radio,To detect the blood clotting / Untuk mengesan pembekuan darah,,,,,,,,B,
,radio,To study the absorption of phosphorus fertiliser in by plants / Mengkaji penyerapan baja fosforus dalam tumbuhan,,,,,,,,C,
,radio,To kill cancer cells / Untuk membunuh sel-sel kanser,,,,,,,,D,
,radio,To sterilise surgical tools/ Untuk mensterilkan alatan pembedahan,,,,,,,,D,
,radio,Thyroid gland / Kelenjar tiroid ,,,,,,,,E,
,radio,To generate electrical energy / Menjana tenaga elektrik,,,,,,,,F,
,radio,To control the thickness of paper / Untuk mengawal ketebalan kertas,,,,,,,,G,
