title,type,question,A,B,C,D,E,F,G,H,answer,image
合金成分与用途,radio,Brass / Loyang,Copper + Zinc / Kuprum + Zink,Copper + Tin / Kuprum + Timah,Iron + Carbon / Besi + Karbon,Tin + Copper + Antimony / Tinah + Kuprum + Antimoni,Aluminium + Copper + Others / Almunium + Kuprum + Lain-lain,,,,A,
,radio,Bronze / Gangsa,Copper + Zinc / Kuprum + Zink,Copper + Tin / Kuprum + Timah,Iron + Carbon / Besi + Karbon,Tin + Copper + Antimony / Tinah + Kuprum + Antimoni,Aluminium + Copper + Others / Almunium + Kuprum + Lain-lain,,,,B,
,radio,Steel / Keluli,Copper + Zinc / Kuprum + Zink,Copper + Tin / Kuprum + Timah,Iron + Carbon / Besi + Karbon,Tin + Copper + Antimony / Tinah + Kuprum + Antimoni,Aluminium + Copper + Others / Almunium + Kuprum + Lain-lain,,,,C,
,radio,Pewter / Piuter,Copper + Zinc / Kuprum + Zink,Copper + Tin / Kuprum + Timah,Iron + Carbon / Besi + Karbon,Tin + Copper + Antimony / Tinah + Kuprum + Antimoni,Aluminium + Copper + Others / Almunium + Kuprum + Lain-lain,,,,D,
,radio,Duralumin,Copper + Zinc / Kuprum + Zink,Copper + Tin / Kuprum + Timah,Iron + Carbon / Besi + Karbon,Tin + Copper + Antimony / Tinah + Kuprum + Antimoni,Aluminium + Copper + Others / Almunium + Kuprum + Lain-lain,,,,E,
,radio,Musical instruments / Alat muzik,Duralumin,Pewter / Piuter,Steel / Keluli,Bronze / Gangsa,Brass / Loyang,,,,E,
,radio,Coins / Duit syling,Duralumin,Pewter / Piuter,Steel / Keluli,Bronze / Gangsa,Brass / Loyang,,,,D,
,radio,Medals / Pingat,Duralumin,Pewter / Piuter,Steel / Keluli,Bronze / Gangsa,Brass / Loyang,,,,D,
,radio,Statues / Patung,Duralumin,Pewter / Piuter,Steel / Keluli,Bronze / Gangsa,Brass / Loyang,,,,D,
,radio,Building / Bangunan,Duralumin,Pewter / Piuter,Steel / Keluli,Bronze / Gangsa,Brass / Loyang,,,,C,
,radio,Bridges / Jambatan,Duralumin,Pewter / Piuter,Steel / Keluli,Bronze / Gangsa,Brass / Loyang,,,,C,
,radio,Railway tracks / Landasan kereta api,Duralumin,Pewter / Piuter,Steel / Keluli,Bronze / Gangsa,Brass / Loyang,,,,C,
,radio,Decorative item / Barang perhiasan,Duralumin,Pewter / Piuter,Steel / Keluli,Bronze / Gangsa,Brass / Loyang,,,,B,
,radio,Aircraft / pesawat,Duralumin,Pewter / Piuter,Steel / Keluli,Bronze / Gangsa,Brass / Loyang,,,,A,
,radio,Aeroplanes / Kapal Terbang,Duralumin,Pewter / Piuter,Steel / Keluli,Bronze / Gangsa,Brass / Loyang,,,,A,
,radio,Superconductor alloy / Aloi superkonduktor 的特点,canconduct electricity without resistance / mengalirkan arus elektrik tanpa rintangan,Can conduct electricity with maximum resistance / Mengalirkan arus elektrik dengan rintangan maksimum,Can only conduct electricity in solid state at room temperature / Hanya boleh mengalirkan arus elektrik dalam keadaan pepejal pada suhu bilik,Can generate electricity without using energy / Boleh menjana elektrik tanpa menggunakan tenaga,,,,,A,
,checkbox,Superconductor alloy / Aloi superkonduktor 的应用,Maglev train / Kereta api Maglev,MRI machine / Mesin MRI,Hair dryer / Pengering rambut,Electric kettle / Cerek elektrik,Ceiling fan / Kipas siling,,,,"A,B",
,checkbox,Alloy / Aloi 的特点,Hard / Keras,Soft / Lembut,Strong / Kuat,Weak / Kurang kuat,Shiny surface / Permukaan berkilau,Dull surface / Permukaan pudar,Resistant to corrosion / Tahan kakisan,Corrode easily / Mudah terkakis,"A,C,E,G",
,radio,Function of foreign atom / Fungsi atom asing,to make the layers of pure metal atoms difficult to slide over each other / menyukarkan penggelongsoran antara lapisan atom logam tulen,To allow the atoms in pure metal to slide more easily / Membolehkan atom dalam logam tulen meluncur dengan lebih mudah,To arrange the metal atoms into perfect layers / Menyusun atom logam dalam lapisan yang sempurna,To increase the size of metal atoms so they bond better / Meningkatkan saiz atom logam supaya ia berikatan dengan lebih baik,,,,,A,
,text,Process of making alloy / Prosos membuat aloi,,,,,,,,,"alloying,pengaloian",
