title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,answer,image
聚合物,radio,Glucose / Glukosa 的 monomer 是什么？,Starch / Kanji,Amino acid / Asid amino,Isoprene / Isoprena,Ethene / Ethena,Stryene / Stirena,Methyl methacrylate / Metil metakrilat,Neoprene / Neoprena,,,,,,A,
,radio,Protein 的 monomer 是什么？,Starch / Kanji,Amino acid / Asid amino,Isoprene / Isoprena,Ethene / Ethena,Stryene / Stirena,Methyl methacrylate / Metil metakrilat,Neoprene / Neoprena,,,,,,B,
,radio,Natural rubber / Getah asli 的 monomer 是什么？,Starch / Kanji,Amino acid / Asid amino,Isoprene / Isoprena,Ethene / Ethena,Stryene / Stirena,Methyl methacrylate / Metil metakrilat,Neoprene / Neoprena,,,,,,C,
,radio,Polyethene / Polietena 的 monomer 是什么？,Starch / Kanji,Amino acid / Asid amino,Isoprene / Isoprena,Ethene / Ethena,Stryene / Stirena,Methyl methacrylate / Metil metakrilat,Neoprene / Neoprena,,,,,,D,
,radio,Polystyrene / Polistirena 的 monomer 是什么？,Starch / Kanji,Amino acid / Asid amino,Isoprene / Isoprena,Ethene / Ethena,Stryene / Stirena,Methyl methacrylate / Metil metakrilat,Neoprene / Neoprena,,,,,,E,
,radio,Perspex / Perspeks 的 monomer 是什么？,Starch / Kanji,Amino acid / Asid amino,Isoprene / Isoprena,Ethene / Ethena,Stryene / Stirena,Methyl methacrylate / Metil metakrilat,Neoprene / Neoprena,,,,,,F,
,radio,Synthetic rubber / Getah sintetik 的 monomer 是什么？,Starch / Kanji,Amino acid / Asid amino,Isoprene / Isoprena,Ethene / Ethena,Stryene / Stirena,Methyl methacrylate / Metil metakrilat,Neoprene / Neoprena,,,,,,G,
,checkbox,Synthetic rubber / Getah sintetik 能做什么？,Gloves / Sarung tangan,Tyres / Tayar kereta,Shoe soles / Tapak kasut,Books / Buku,Windows / Tingkap,Clothes / Pakaian,,,,,,,"A,B,C",
,text,Monomer 变 Polymer / Polimer 的过程是,,,,,,,,,,,,,"polymerisation,pempolimeran",
,text,Polymer / Polimer 变 Monomer 的过程是,,,,,,,,,,,,,"depolymerisation,penyahpolimeran",
,radio,Latex + Acid / Latex + Asid 会导致,变硬,避免变硬,,,,,,,,,,,A,
,radio,Latex + Alkali / Latek + Alkali会导致,变硬,避免变硬,,,,,,,,,,,B,
,radio,Latex 放久了会导致,变硬,避免变硬,,,,,,,,,,,A,
,radio,Latex 放久了会 Coagulate / Menggumpal 是因为空气中有?,细菌,酸性,水蒸气,碱性,,,,,,,,,A,
,checkbox,Natural Rubber / Getah asli 的特征 (5个),Elastic / Kenyal,Soft / Lembut,Cannot withstant heat / Tidak tahan haba,Good electrical insulator / Penebat elektrik yang baik,Not permeable to air / Tidak telap udara,Hard and brittle / Keras dan rapuh,Rust easily / Mudah berkarat,Good conductor of electricity / Konduktor elektrik yang baik,Malleable / Boleh ditempa,Magnetic / Bermagnet,,,"A,B,C,D,E",
,text,Natural rubber / Getah asli 和什么一起加热会变 Vulcanised rubber / Getah tervulkan,,,,,,,,,,,,,"sulphur,sulfur",
,radio,Vulcanised rubber / Getah tervulkan 为什么比较耐热？,Has cross-links / Mempunyai rangkai silang,Contains more water molecules / Mengandungi lebih banyak molekul air,Has magnetic properties / Mempunyai sifat bermagnet,Made of pure carbon atoms only / Diperbuat daripada atom karbon tulen sahaja,,,,,,,,,A,
,checkbox,Vulcanised Rubber / Getah tervulkan 的特征 (6个),Hard and more elastic / Keras dan lebih kenyal,Resistant to heat / Tahan terhadap haba,Good electrical insulator / Penebat elektrik yang baik,Not permeable to liquid and air / Tidak telap terhadap cecair dan udara,Does not react with acid and alkali / Tidak bertindak balas dengan asid dan alkali,Difficult to be oxidised in air / Tidak mudah teroksida di udara,Rust easily / Mudah berkarat,Good conductor of electricity / Konduktor elektrik yang baik,Magnetic / Bermagnet,Malleable / Boleh ditempa,Ductile / Boleh diregang,Soft and flexible / Lembut dan anjal,"A,B,C,D,E,F",
